abstracts,ieee_keywords,author_keywords
"Light-emitting diodes (LEDs), which will be increasingly used in lighting technology, will also allow for distribution of broadband optical wireless signals. Visible-light communication (VLC) using white LEDs offers several advantages over the RF-based wireless systems, i.e., license-free spectrum, low power consumption, and higher privacy. Mostly, optical wireless can provide much higher data rates. In this paper, we demonstrate a VLC system based on a white LED for indoor broadband wireless access. After investigating the nonlinear effects of the LED and the power amplifier, a data rate of 1 Gb/s has been achieved at the standard illuminance level, by using an optimized discrete multitone modulation technique and adaptive bit- and power-loading algorithms. The bit-error ratio of the received data was 1.5\cdot 10^{-3} , which is within the limit of common forward error correction (FEC) coding. These results twice the highest capacity that had been previously obtained.",[],[]
"We present a slot-waveguide-based ring resonator in silicon on insulator (SOI) with a footprint of only13 μm×10 μm, fabricated with optical lithography. Experiments show that it has 298 nm/RIU sensitivity and a detection limit of4.2⋅10−5 RIUfor changes in the refractive index of the top cladding. We prove for the first time that surface chemistry for selective label-free sensing of proteins can be applied inside a 100 nm-wide slot region and demonstrate that the application of a slot waveguide instead of a normal waveguide increases the sensitivity of an SOI ring resonator with a factor 3.5 for the detection of proteins.","['Biosensors', 'Optical ring resonators', 'Silicon on insulator technology', 'Proteins', 'Optical waveguides', 'Biomedical optical imaging', 'Optical refraction', 'Optical sensors', 'Optical variables control', 'Lithography']","['Biosensor', 'ring resonator', 'silicon on insulator', 'slot waveguide']"
"Metamaterials are artificial composites that acquire their electromagnetic properties from embedded subwavelength metallic structures. In theory, the effective electromagnetic properties of metamaterials at any frequency can be engineered to take on arbitrary values, including those not appearing in nature. As a result, this new class of materials can dramatically add a degree of freedom to the control of electromagnetic waves. The emergence of metamaterials fortunately coincides with the intense emerging interest in terahertz radiation (T-rays), for which efficient forms of electromagnetic manipulation are sought. Considering the scarcity of naturally existing materials that can control terahertz, metamaterials become ideal substitutes that promise advances in terahertz research. Ultimately, terahertz metamaterials will lead to scientific and technological advantages in a number of areas. This article covers the principles of metamaterials and reviews the latest trends in terahertz metamaterial research from the fabrication and characterization to the implementation.","['Metamaterials', 'Magnetic materials', 'Frequency', 'Optical resonators', 'Permittivity', 'Permeability', 'Dielectric materials', 'Optical materials', 'Electromagnetic radiation', 'Photonics']","['Metamaterials', 'THz optics']"
"Many novel materials and device designs have been proposed as photonic analogs to electrical diodes over the last four decades. This paper seeks to revisit these materials and designs as advanced technologies may enable experimental realization that was not possible upon conception of several of these designs. The background behind integration challenges, including waveguide birefringence, fabrication tolerances, garnet/semiconductor mismatch, and optimized interfaces will hopefully spark new ideas that will finally enable the realization of integrated optical isolators and circulators.","['Garnets', 'Isolators', 'Faraday effect', 'Magnetooptic devices', 'Optical waveguides']","['YIG', 'isolators', 'circulators', 'nonreciprocal optics', 'Faraday rotation', 'beatlength', 'quasi phase matching', 'birefringences', 'non-reciprocal phase shift', 'NRPS', 'wafer-bonding', 'Bi:YIG', 'Ce:YIG', 'push/pull']"
"In this paper, we present a comprehensive channel modeling and characterization study for visible light communications. Our study is based on ray tracing, which allows for an accurate description of the interaction of rays emitted from the lighting source within a specified confined space. Contrary to existing works, which are mainly limited to ideal Lambertian sources and purely diffuse reflections, our approach is capable of obtaining channel impulse responses (CIRs) for any nonideal sources, as well as specular and mixed specular-diffuse reflections. Furthermore, we can precisely reflect the presence of objects (e.g., furniture) and wavelength-dependent reflection characteristics of surface materials (e.g., ceilings, floor, walls, and furniture) in a channel study. As case studies, we consider a number of indoor environments with various dimensions and different surface materials, i.e., plaster, gloss paint, wood, aluminum metal, and glass. We further consider various scenarios with different transmitter specifications (i.e., single versus multiple transmitters and array type) and receiver specifications (i.e., location and rotation). For each environment, we obtain CIRs and present a channel characterization study where channel parameters, such as channel DC gain, root mean square (RMS) delay spread, coherence bandwidth, and mean excess delay, are obtained. We also make one-to-one comparisons between infrared and visible-light CIRs for the same environments to emphasize the differences between two optical bands.","['Reflection', 'Light emitting diodes', 'Reflectivity', 'Solid modeling', 'Ray tracing', 'Visible light communication', 'Indoor environments']","['Visible light communications', 'channel modeling', 'ray tracing']"
"In order to realize fast and accurate estimation of intercore crosstalk in bent multicore fibers (MCFs), an analytical expression of the average power-coupling coefficient (PCC) based on an exponential autocorrelation function is, for the first time, derived, resulting in no need for heavy numerical computations. It is revealed that, when the bending radius is large and the correlation length is large, the average PCC is inversely proportional to the correlation length and to the square of the propagation constant difference Δβ mn between core m and core n, and when the bending radius is small and the correlation length is large, the average PCC is proportional to the bending radius and is independent of the correlation length. When the correlation length is small, on the other hand, the average PCC is proportional to the correlation length and is independent of the bending radius. For homogeneous MCFs (Δβ mn = 0) with small bending radius, the average PCC coincides with the mean crosstalk increase per unit length derived from the coupled-mode theory of Hayashi et al. that is proportional to the bending radius. Average crosstalk values calculated by using the analytical expression derived here are in excellent agreement with those of numerical solutions of coupled-power equations, irrespective of the values of bending radius and correlation length.","['Correlation', 'Crosstalk', 'Optical fiber networks', 'Optical fiber theory', 'Propagation constant', 'Mathematical model', 'Integral equations']","['Multicore fiber (MCF)', 'intercore crosstalk', 'coupled-power theory (CPT)', 'power-coupling coefficient (PCC)', 'analytical expression']"
"PECVD silicon nitride photonic wire waveguides have been fabricated in a CMOS pilot line. Both clad and unclad single mode wire waveguides were measured at λ = 532, 780, and 900 nm, respectively. The dependence of loss on wire width, wavelength, and cladding is discussed in detail. Cladded multimode and singlemode waveguides show a loss well below 1 dB/cm in the 532-900 nm wavelength range. For singlemode unclad waveguides, losses 1 dB/cm were achieved at λ = 900 nm, whereas losses were measured in the range of 1-3 dB/cm for λ = 780 and 532 nm, respectively.","['Optical waveguides', 'Photonics', 'Silicon', 'Films', 'Wires', 'Optical losses', 'CMOS integrated circuits']","['Waveguides', 'waveguide devices', 'fabrication and characterization', 'photonic materials', 'gratings']"
"This paper introduces an optical vehicle-to-vehicle (V2V) communication system based on an optical wireless communication technology using an LED transmitter and a camera receiver, which employs a special CMOS image sensor, i.e, an optical communication image sensor (OCI). The OCI has a “communication pixel (CPx)” that can promptly respond to light intensity variations and an output circuit of a “flag image” in which only high-intensity light sources, such as LEDs, have emerged. The OCI that employs these two technologies provides capabilities for a 10-Mb/s optical signal reception and real-time LED detection to the camera receiver. The optical V2V communication system consisting of the LED transmitters mounted on a leading vehicle and the camera receiver mounted on a following vehicle is constructed, and various experiments are conducted under real driving and outdoor lighting conditions. Due to the LED detection method using the flag image, the camera receiver correctly detects LEDs, in real time, in challenging outdoor conditions. Furthermore, between two vehicles, various vehicle internal data (such as speed) and image data (320 × 240, color) are transmitted successfully, and the 13.0-fps image data reception is achieved while driving outside.","['Optical transmitters', 'Optical imaging', 'Optical receivers', 'Light emitting diodes', 'Cameras', 'Optical sensors']","['Optical wireless communication (OWC)', 'visible light communication (VLC)', 'LED transmitter', 'camera receiver', 'CMOS image sensor', 'vehicle-to-vehicle communication']"
"We present relationships for the free-carrier-induced electrorefraction and electroabsorption in crystalline silicon over the 1-14-μm wavelength range. Electroabsorption modulation is calculated from impurity-doping spectra taken from the literature, and a Kramers-Kronig analysis of these spectra is used to predict electrorefraction modulation. More recent experimental results for terahertz absorption of silicon are also used to improve the commonly used 1.3- and 1.55-μm equations. We examine the wavelength dependence of electrorefraction and electroabsorption, finding that the predictions suggest longer wave modulator designs will, in many cases, be different from those used in the telecom range.","['Absorption', 'Silicon', 'Refractive index', 'Doping', 'Modulation', 'Mathematical model', 'Photonics']","['Absorption', 'electrooptic modulators', 'semiconductor impurities', 'silicon']"
"In this paper, we carry out a unified performance analysis of a dual-hop relay system over the asymmetric links composed of both radio-frequency (RF) and unified free-space optical (FSO) links under the effect of pointing errors. Both fixed and variable gain relay systems are studied. The RF link is modeled by the Nakagami-m fading channel and the FSO link by the Gamma-Gamma fading channel subject to both types of detection techniques (i.e., heterodyne detection and intensity modulation with direct detection). In particular, we derive new unified closed-form expressions for the cumulative distribution function, the probability density function, the moment generating function (MGF), and the moments of the end-to-end signal-to-noise ratio (SNR) of these systems in terms of the Meijer's G function. Based on these formulas, we offer exact closed-form expressions for the outage probability (OP), the higher order amount of fading, and the average bit error rate (BER) of a variety of binary modulations in terms of the Meijer's G function. Furthermore, an exact closed-form expression of the end-to-end ergodic capacity is derived in terms of the bivariate G function. Additionally, by using the asymptotic expansion of the Meijer's G function at the high-SNR regime, we derive new asymptotic results for the OP, the MGF, and the average BER in terms of simple elementary functions.","['Relays', 'Radio frequency', 'Signal to noise ratio', 'Rayleigh channels', 'Probability density function', 'Bit error rate']","['Free-space optics (FSO)', 'mixed RF/FSO systems', 'Nakagami-m fading', 'atmospheric turbulence', 'pointing errors', 'outage probability (OP)', 'bit-error rate (BER)', 'ergodic capacity', 'Meijer’s G function']"
"An optical wireless communication (OWC) system based on a light-emitting-diode (LED) transmitter and a camera receiver has been developed for use in the automotive area. The automotive OWC system will require Mb/s-class data rates and the ability to quickly detect LEDs from an image. The key to achieving this is improvements to the capabilities of the image sensor mounted on the camera receiver. In this paper, we report on a novel OWC system equipped with an optical communication image sensor (OCI), which is newly developed using CMOS technology. To obtain higher transmission rates, the OCI employs a specialized “communication pixel (CPx)” capable of responding promptly to optical intensity variations. Furthermore, a new quick LED detection technique, based on a 1-bit flag image which only reacts to high-intensity objects, is formulated. The communication pixels, ordinary image pixels, and associated circuits (including 1-bit flag image output circuits) are then integrated into the OCI. This paper describes the design, fabrication, and capabilities of the OCI, as well as the development of the LED and image sensor based OWC system, which boasts a 20-Mb/s/pixel data rate without LED detection and a 15-Mb/s/pixel data rate with a 16.6-ms real-time LED detection.","['Optical transmitters', 'Optical imaging', 'Optical sensors', 'Light emitting diodes', 'Vehicles', 'Optical receivers', 'Cameras']","['Optical wireless communication (OWC)', 'visible light communication (VLC)', 'light-emitting diode (LED)', 'complementary metal–oxide–semiconductor (CMOS) image sensor', 'image sensor based OWC', 'automotive communication system']"
"The fabrication studies of silica/polystyrene (PS) colloidal microlens arrays with various aspect ratios were performed on the III-nitride light-emitting diodes (LEDs). The use of colloidal-based microlens arrays led to significant enhancement in light extraction efficiency for III-nitride LEDs. In varying the aspect ratios of the microlens arrays, the engineering of various PS thicknesses was employed by using high-temperature treatment and redeposition process. The effects of PS thickness on the light extraction efficiency and far-field emission patterns of InGaN quantum-well (QW) LEDs were studied. The total output powers of microlens LEDs with various PS thicknesses exhibited 1.93–2.70 times enhancement over that of planar LEDs, and the use of optimized PS layer thickness is important in leading the enhancement of the light extraction efficiency in large angular direction.","['Light emitting diodes', 'Lenses', 'Microoptics', 'Annealing', 'Suspensions', 'Fabrication', 'Scanning electron microscopy']","['III-Nitrides', 'light-emitting diodes (LEDs)', 'light extraction efficiency', 'microlens arrays', 'far-field radiation']"
"We demonstrate a switchable dual-wavelength synchronously pulsed fiber laser Q-switched by graphene saturable absorber. Wavelength-resolved studies on the output Q-switched pulses show that despite of large wavelength spacing up to 26 nm, the two Q-switched pulses at each individual wavelength can be temporally synchronized with per-pulse energy up to ~ 70 nJ. Further experiments show that by adjusting the intracavity birefringence, dual-wavelength emission can be switched to another dual-wavelength operation regime with wavelength separation of 5.7 nm. Our experimental results are also qualitatively supported by the cavity linear transmission characteristics of the ring cavity.","['Laser excitation', 'Cavity resonators', 'Optical switches', 'Pump lasers', 'Optical polarization', 'Optical pulses']","['Q-switching', 'fiber laser', 'graphene', 'ultrashort pulse']"
