abstracts,ieee_keywords,author_keywords
"Recently, a novel type of pulse formation known as dissipative soliton resonance (DSR) has been demonstrated in mode-locked fiber lasers. However, emphasis has been given to scalar DSR pulses, and their polarization dynamics have not yet been fully explored. In this paper, we study numerically the vector nature of DSR pulses in a fiber laser mode-locked by the nonlinear polarization rotation technique. Our results enrich the vector nature of DSR pulses in mode-locked fiber lasers.",[],[]
"In this work, a versatile vibration sensor using a tapered PCF with a featured core was demonstrated. Thanks to the specially designed central air-bore and optimized fiber taper technique, the intermodal coupling and light leakage are significantly enhanced, which enables the sensor highly sensitive to different types of vibrations, such as single-/dual-frequency vibrations, and accelerations. This sensor shows great potentials in various fields such as structural health monitoring.","['Vibrations', 'Sensors', 'Frequency modulation', 'Atmospheric modeling', 'Couplings', 'Indexes', 'Photonics']","['Photonic crystal fiber', 'fiber taper', 'vibration sensor']"
"The dynamic refractive-index-change behavior of the light-induced process in an Mn:Fe:KTN crystal illuminated by a focused light sheet can be observed experimentally by digital holographic interferometry. By numerically retrieving a series of sequential phase maps from recording digital holograms, the spatial and temporal evolution of the light-induced refractive-index-change distribution inside the material is visualized in situ and monitored in a quantitative and in full field way. With this technique, the effect of recording parameters, such as writing laser power and polarization, bias voltage, temperature, and writing time, on the Mn:Fe:KTN crystal in the photorefractive effect can be explored. Therefore, optimized recording parameters will be achieved according to the dynamic behavior. The method provides an access to explore the evolution of the photorefractive (PR) effect of electrooptic crystal under various situations.","['Refractive index', 'Crystals', 'Writing', 'Optical interferometry', 'Laser beams', 'Temperature measurement', 'Holography']","['Mn:Fe:KTN crystal', 'photorefractive effect', 'digital holographic interferometry']"
"We experimentally investigate the wavelength-division multiplexing (WDM) transmission of single-carrier 400G based on an orthogonal optical time-division multiplexed (orth-OTDM) 80-GBd polarization-division multiplexed (PDM) 8 quadrature-amplitude modulation (QAM) signal. The 80-GBd 8QAM signal is generated using the OTDM method based on two tributaries of time-domain orthogonal pulses with 40-GBd 8QAM signals. Full-band coherent detection is utilized with digital signal processing based on a single broadband receiver for the 80-GBd signals. The WDM transmission performance of single-carrier 400G signals within different channel grids and carrier spacing is also investigated. Finally, four 400G channels, each carrying an 80-GBd PDM-8QAM signal within 100-, 80-, and 75-GHz grids, are successfully transmitted over 1600-, 800-, and 400-km standard single-mode fibers with Erbium-doped fiber amplifier (EDFA)-only amplification below a pre-Forward error correction (FEC) bit-error rate (BER) of 2.4×10 -2 (20% soft-decision FEC), respectively. The achieved spectral efficiency for the 400G channel can be 4, 5, and 5.33 bit/s/Hz, respectively.","['Wavelength division multiplexing', 'Bit error rate', 'Optical fibers', 'Optical pulses', 'High-speed optical techniques', 'Optical polarization']","['PM-8QAM', '400G', 'OTDM', 'optical coherent communication']"
"It is observed in experiment that the SRS can be enhanced by lowering the seed power by using two sorts of seed. This is the first observation of weak-seed enhancement of SRS in the distributed side-pumped Yb-doped fiber amplifier, to the best of our knowledge. Then, the pertinent numerical study is carried out to reveal the physical mechanism.","['Fiber lasers', 'Ytterbium', 'Raman scattering', 'Optical amplifiers', 'Nonlinear optics', 'Optimization']","['Fiber laser', 'fiber nonlinear optics', 'laser amplifiers']"
"To track vital signs on the wrist, a wearable system, named WrisTee, has been developed for remote health monitoring. Using three optical sensors with four light sources, WrisTee allows users to measure 12 photoplethysmogram (PPG) signals at three locations on the radial artery. Two types of PPG signals with opposite polarities were discovered and designated as in-phase and invert-phase signals. We provided a unified viewpoint regarding their differences based on the Beer−Lambert law, and showed that both signals can be used for heart monitoring using data analyzed from a selected subject. Using reflective pulse-transition time (R-PTT) and the standard deviation of R-PTT (σR-PTT), we proposed a method for selecting the optimal wavelength to achieve the best quality signal, thus minimizing storage requirements, power resources, and computational costs. We conducted an experiment on ten subjects to evaluate the feasibility of the proposed method. Our results demonstrated that WrisTee is capable of finding the optimal positions and wavelengths for monitoring vital signs. To automatically detect the PPG phases, six machine learning (ML) models were explored to assess their accuracy for PPG-phase classification. The experimental results show that a convolutional neural network can be the best candidate for phase classification. Hence, it can be integrated into WrisTee for noninvasive health monitoring such as heart rate, heart rate variability, or blood pressure. Our work paves a new direction in bio-signal medical researches by adopting in-phase and invert-phase PPGs for healthcare monitoring.","['Sensors', 'Optical sensors', 'Monitoring', 'Biomedical monitoring', 'Light emitting diodes', 'Wrist', 'Sensor arrays']","['Blood pressure', 'in-phase', 'invert-phase', 'machine learning', 'multi-wavelength', 'photoplethysmogrpahy', 'pulse transition time', 'vital signs', 'wearable']"
The generalized cross-correlation time delay estimation method is proposed to achieve the profile information with the relative displacement of interference signal between different pixels. It performs high accuracy in case the shape of interference signal envelope is irregular while the conventional zero optical path difference position locating method cannot work. The measuring accuracy is further improved by introducing laser interferometry system.,"['Interference', 'Filtering', 'Fourier transforms', 'Optical interferometry', 'Semiconductor device measurement', 'Shape']","['Generalized cross-correlation time delay estimation', 'white light scanning interferometry', 'zero optical path difference', 'interference signal envelope.']"
"The WGM microresonators fabricated by laser micromachining can achieve very large Q and can support more structures and materials than conventional etching method. We investigated the dispersion engineering for WGM microresonators fabricated by CO2/femtosecond laser micromachining and significantly flattened dispersion has been achieved. With the designed belt-like resonator, we obtained wideband flat zero dispersion which is comparable to a zero dispersion flattened fiber.","['Microcavities', 'Dispersion', 'Micromachining', 'Ultrafast optics', 'Laser modes']","['Whispering gallery mode', 'microresonators', 'dispersion.']"
"An approach for wideband phase noise measurement of microwave signal sources is proposed based on all-optical microwave signal processing. In the proposed scheme, an optical carrier is sequentially modulated by the signal under test (SUT) in a phase modulator and a dual-polarization modulator to generate two +1st-order sidebands with orthogonal polarizations. A time delay is introduced between two sidebands by a span of low-loss optical fiber. Combined with a polarization controller and a polarizer, photonic microwave downconversion with a desired phase shift and time delay can be realized after photodetection, and the phase noise of the SUT can be calculated thereafter. Since all the microwave signal processing functions in the conventional photonic-delay-line-based phase noise measurement system are implemented in the optical domain, the proposed scheme has a large operational bandwidth and a high measurement sensitivity. In the experimental demonstration, accurate phase noise measurement of SUTs is achieved in a frequency range of 10-35 GHz, and a phase noise floor as low as −132.16 dBc/Hz at 10 kHz is obtained.","['Microwave measurement', 'Microwave photonics', 'Microwave theory and techniques', 'Phase noise', 'Optical variables measurement', 'Optical polarization', 'Phase measurement']","['All-optical microwave signal processing', 'frequency discriminator', 'microwave photonics', 'phase noise']"
"Fiber Optical Parametric Oscillator (FOPO) relies on a nonlinear parametric process in optical fibers. This nonlinear parametric is unidirectional and reciprocal, hence it can be operated if pump light can propagate bidirectionally. This paper provides full characterization of double-pass scheme FOPO with new idler removal filter designs to rectify the gain modulation problem. The proposed FOPO yields wider tuning range and lower lasing threshold with no significant lasing power fluctuations.","['Cavity resonators', 'Laser excitation', 'Band-pass filters', 'Optical filters', 'Oscillators', 'Pump lasers', 'L-band']","['Four-wave mixing', 'fiber lasers', 'fiber nonlinear optics']"
"We report on an optically pumped semiconductor disk laser with a wide wavelength tuning range and a high peak output power. This was achieved using a combination of efficient thermal management and a broadband gain element (GE) with carefully engineered spectral gain characteristics. For heat removal, a flip-chip bonding scheme on diamond was used. To provide high active mirror reflectance over a large wavelength region, the layered structure of the GE formed a nonresonant subcavity assisted by an antireflective structure. A peak output power of more than 7.5 W and a tuning range of 32 nm around the center wavelength of 995 nm were obtained.","['Heat sinks', 'Diamond-like carbon', 'Copper', 'Semiconductor lasers', 'Tuning', 'Laser excitation', 'Power generation']","['Tunable lasers', 'semiconductor lasers', 'multilayer interference coatings']"
We investigate the feasibility of nanoengineered yttria-stabilized zirconia—aluminoEr3+- doped silicate fiber for high-power ultrafast fiber laser applications. The presented material studies and experimentally demonstrated laser performance indicate that such gain fiber could have significant advantages for generating efficient continuous-wave and high-peak-power mode-locked 1.55-μmfiber lasers.,"['Optical fiber dispersion', 'Glass', 'Optical fiber amplifiers', 'Optical fiber networks', 'Fiber lasers', 'Preforms']","['Fiber materials', 'nanoengineered fiber', 'zirconia alumino (YSZA)-silicate fiber', '$\\text{Er}^{3+}$-doped fiber']"
"In monolithic photonic integrated circuits (PICs), an optimized active/passive integration is needed to provide efficient coupling and low amount of interface reflections between amplifiers and passive components. A 1300 nm semiconductor optical amplifier (SOA) on InP substrate and optimized for butt-joint reflections is investigated. Material performance were assessed from measurements of broad area lasers. Room temperature operation reveals 1.2 W single facet output power with threshold current around 100 A/cm 2 per well. Characteristic temperatures of T 0 = 75 K and T 1 = 294 K were obtained. A compact model description of the SOA, suitable for the design of PICs and rate equation analysis, was applied to parametrize the unsaturated gain measurements. Current injection efficiency of 0.65, transparency carrier density of 0.57 10 18 cm −3 , and free carrier absorption losses up to 15 cm −1 were extracted from fitting the data. The model is verified with measurements of optical gain saturation. A modal gain of 15 dB for a 600 μm long narrow ridge SOA leads to output saturation power higher than 30 mW at 7 kA/cm 2 . This building block contributes to the development of an InP monolithic integration technology in the 1300 nm range, which can enable the use of photonic integrated circuits in many kind of applications.","['Semiconductor optical amplifiers', 'Optical waveguides', 'Indium phosphide', 'III-V semiconductor materials', 'Strain', 'Reflection', 'Optical reflection']","['InP', 'monolithic integrated circuits', 'o-band telecommunications', 'semiconductor optical amplifiers', 'semicondu- ctor device modeling']"
"In this paper, we demonstrate a novel 20-GSample/s burst-mode clock and data recovery (BM-CDR) technique for optical multiaccess networks. The BM-CDR incorporates an injection-locking method for clock recovery and a clock phase aligner employing space sampling with two multiphase clocks at 10 GHz and a phase-picking algorithm for automatic clock phase acquisition. The design provides low latency and fast response without requiring a reset signal from the network layer. The BM-CDR achieves a bit error rate <; 10 -10 while featuring instantaneous (0-bit) phase acquisition for any phase step (±2π rad) between successive bursts. We also compare the data with probabilistic theoretical predictions to validate the experimental results.","['Clocks', 'Passive optical networks', 'Bit rate', 'Logic gates', 'Optical fiber subscriber loops', 'Optical network units', 'Jitter']","['Access networks', 'burst mode (BM)', 'clock and data recovery (CDR)', 'clock phase aligner (CPA)', 'injection locking', 'probabilistic theory', 'space sampling']"
"In this paper, a novel two-dimensional (2D) generalized optical spatial modulation (GOSM) scheme is proposed for multiple-input multiple-output optical wireless communication (MIMO-OWC) systems. By grouping multiple successive time slots as one time block, 2D GOSM mapping can be performed not only in the space domain but also in the time domain. Specifically, two types of 2D GOSM mapping schemes are designed, including 2D-1 and 2D-2 GOSM mappings. Moreover, to address the high complexity issue of optimal joint maximum-likelihood (ML) detection and the noise amplification and error propagation issues of zero-forcing-based ML (ZF-ML) detection, a deep neural network (DNN)-aided detection scheme is further designed for 2D GOSM systems. Simulation results demonstrate the superiority of the proposed 2D GOSM scheme with deep learning-aided detection for high-speed and low-complexity MIMO-OWC systems. More specifically, a remarkable 3.4-dB signal-to-noise ratio (SNR) gain can be achieved by 2D GOSM in comparison to the conventional one-dimensional (1D) GOSM, when applying the DNN-aided detection.","['Light emitting diodes', 'Symbols', 'Modulation', 'Optical transmitters', 'Optical modulation', 'Adaptive optics', 'High-speed optical techniques']","['Deep learning', 'multiple-input multiple-output', 'Optical wireless communication']"
"We built a picosecond multi-pulse operated OPO to obtain 3.8 μm output. The quasi-synchronously pumping technique was used instead of synchronously pumping. Using this new technique, the peak powers of idler pulses were evidently improved, as well as an obvious reduction of the OPO threshold. These advantages will make quasi-synchronously pumping become the primary approach to build the laser source for free-space communication and infrared counterrmeasure.","['Optical fiber amplifiers', 'Laser excitation', 'Pump lasers', 'Optical fiber polarization', 'Fiber lasers', 'Power lasers', 'Quantum cascade lasers']","['Fiber amplifier', 'mid-infrared', 'multi-pulse operation', 'picosecond']"
"We demonstrate a high peak power and high burst energy linear-polarization, narrowband, GHz-adjustable burst-mode fiber-bulk hybrid laser and its second-harmonic generation. Pre-compensation for rectangular burst envelope is investigated by iteration method.To the best of our knowledge, this is the highest reported output energy of burst-mode fiber-bulk hybrid laser with ∼ hundred nanoseconds burst duration.","['Optical fiber amplifiers', 'Fiber lasers', 'Power lasers', 'Masers', 'Optical fiber polarization', 'Semiconductor lasers', 'Optical fiber couplers']","['Burst-mode pulse laser', 'Fiber-bulk solid laser', 'Second-harmonic generation', 'Pulse shape']"
"We present an akinetically swept light source based on a spectrally broadened mode-locked laser in all normal dispersion optical fiber followed by a linear dispersive time stretch and a regenerative amplification stage. Developed for ultrafast swept-source optical coherence tomography (SS-OCT), the source enables the demonstration of A-scan rate at 40 MHz with a 12 μm axial resolution. Through A-scans captured from a fast-moving object, we demonstrate that high-speed OCT is possible at 1 μm wavelength in an architecture which is not intrinsically bandwidth limited. The source therefore shows a promising route to achieving high axial resolution in high-speed swept-source OCT.","['Optical fiber dispersion', 'Optical fibers', 'Optical fiber polarization', 'Bandwidth', 'Optical fiber amplifiers', 'Optical fiber devices', 'Fiber lasers']","['OCT', 'supercontinuum generation', 'fast imaging', 'swept source']"
"GaN LEDs struggle with poor p-type doping due to the high ionization energy of magnesium. The incorporation of magnesium also inhibits the integration between LEDs and GaN power transistors, due to the differences in growth structures. To overcome these challenges and introduce novel functionality, NiO based tunneling LEDs are demonstrated. These devices have compatibility with the process flow of high power GaN devices. Earlier device turn-on was demonstrated alongside AC perform.","['Light emitting diodes', 'Tunneling', 'Gallium nitride', 'Temperature measurement', 'Metals', 'Doping', 'Capacitors']","['LED', 'GaN', 'LiFi', 'Tunneling', 'MIS', 'AC']"
"The inter-data center links are meeting the challenge of increasing transmission capacity continuously. Here, the tradeoff between transmission capacity and cost and power consumption especially needs to be considered. The field modulation polarization-division-multiplexed (PDM) four-level pulse amplitude modulation (PAM4) with coherent detection is a potential candidate for 400 Gb/s and beyond inter-data center transmissions, which has several advantages including low-cost, low optical signal to noise ratio (OSNR) requirement and high receiver sensitivity. In this paper, the feasibility and effectiveness of the field PDM-PAM4 coherent system are investigated over multi core fiber (MCF). In order to adapt to the field PAM signals, the signal-phase aid least-mean square (SP-LMS) and training multi-modulus algorithm (TMMA) are modified and analyzed for equalization and polarization demultiplexing. Finally, it is demonstrated that 4×112 Gb/s field PDM-PAM4 is successful transmitted over 16 km MCF and 384 km SSMF in C-band with a BER below 3.8e-3.","['Optical fiber polarization', 'Training', 'Costs', 'Sensitivity', 'Power demand', 'C-band', 'Coherence']","['MCF', 'data center', 'coherent detection', 'low cost']"
"We propose and experimentally demonstrate a receiver-side electronic dispersion compensation (EDC) algorithm for C-band 56 Gbit/s OOK signal over 20km dispersion-uncompensated link. The proposed EDC algorithm includes feed-forward equalizer, post filter and iterative detection algorithm, which is originally used in spectrally efficient frequency division multiplexing systems. The proposed scheme can keep the system cost-effective and flexible, showing potentials for optical interconnects.","['Optical attenuators', 'Optical receivers', 'Adaptive optics', 'Optical fiber communication', 'Optical modulation', 'Dispersion', 'Integrated optics']","['C-band', 'on-off keying (OOK)', 'chromatic dispersion (CD)', 'power fading', 'electronic dispersion compensation algorithm']"
"We propose and demonstrate the concept of a novel 1 × N lossless adaptive optical power splitter (OPS) structure integrating a software-driven Opto-VLSI processor, optical amplifiers, and an array of 4-f imaging systems. The active area of the Opto-VLSI processor is divided into M pixel blocks driven by multicasting phase holograms and aligned with an M-element lens array and a fiber array, thus forming an array of 4-f imaging systems. Each 4-f imaging system is capable of collimating and adaptively splitting an input optical beam emerging from an optical fiber and then coupling the split beams into different output fiber ports, thus realizing dynamic optical power splitting. The Opto-VLSI processor is driven by optimized multicasting phase holograms that adaptively split an incident laser beam along different angles; thus, user-defined splitting ratios can be achieved. Experimental results show that the optical amplifiers compensate for the splitting and the insertion losses, making the adaptive OPS lossless.","['Optical fibers', 'Optical beams', 'Optical imaging', 'Laser beams', 'Adaptive optics', 'Optical amplifiers']","['Adaptive optical splitter', 'beam splitter', 'liquid crystal devices', 'optical communications', 'Opto-VLSI processor']"
