abstracts,ieee_keywords,author_keywords
"The demand for wireless connectivity has grown exponentially over the last few decades. Fifth-generation (5G) communications, with far more features than fourth-generation communications, will soon be deployed worldwide. A new paradigm of wireless communication, the sixth-generation (6G) system, with the full support of artificial intelligence, is expected to be implemented between 2027 and 2030. Beyond 5G, some fundamental issues that need to be addressed are higher system capacity, higher data rate, lower latency, higher security, and improved quality of service (QoS) compared to the 5G system. This paper presents the vision of future 6G wireless communication and its network architecture. This article describes emerging technologies such as artificial intelligence, terahertz communications, wireless optical technology, free-space optical network, blockchain, three-dimensional networking, quantum communications, unmanned aerial vehicles, cell-free communications, integration of wireless information and energy transfer, integrated sensing and communication, integrated access-backhaul networks, dynamic network slicing, holographic beamforming, backscatter communication, intelligent reflecting surface, proactive caching, and big data analytics that can assist the 6G architecture development in guaranteeing the QoS. Besides, expected applications with 6G communication requirements and possible technologies are presented. We also describe potential challenges and research directions for achieving this goal.",[],[]
"As of today, the fifth generation (5G) mobile communication system has been rolled out in many countries and the number of 5G subscribers already reaches a very large scale. It is time for academia and industry to shift their attention towards the next generation. At this crossroad, an overview of the current state of the art and a vision of future communications are definitely of interest. This article thus aims to provide a comprehensive survey to draw a picture of the sixth generation (6G) system in terms of drivers, use cases, usage scenarios, requirements, key performance indicators (KPIs), architecture, and enabling technologies. First, we attempt to answer the question of “Is there any need for 6G?” by shedding light on its key driving factors, in which we predict the explosive growth of mobile traffic until 2030, and envision potential use cases and usage scenarios. Second, the technical requirements of 6G are discussed and compared with those of 5G with respect to a set of KPIs in a quantitative manner. Third, the state-of-the-art 6G research efforts and activities from representative institutions and countries are summarized, and a tentative roadmap of definition, specification, standardization, and regulation is projected. Then, we identify a dozen of potential technologies and introduce their principles, advantages, challenges, and open research issues. Finally, the conclusions are drawn to paint a picture of “What 6G may look like?.” This survey is intended to serve as an enlightening guideline to spur interests and further investigations for subsequent research and development of 6G communications systems.","['6G mobile communication', 'Industries', 'Wireless communication', 'Wireless sensor networks', '5G mobile communication', 'Artificial intelligence', 'Vehicles']","['5G', '6G', 'artificial intelligence', 'blockchain', 'cell-free MIMO', 'digital twin', 'edge computing', 'holographic-type communications', 'Internet of Everything', 'Internet of Things', 'machine learning', 'mobile networks', 'non-terrestrial networks', 'optical wireless communications', 'O-RAN', 'tactile Internet', 'terahertz', 'visible light communications', 'wireless communications']"
"Reconfigurable intelligent surfaces (RISs) have the potential of realizing the emerging concept of smart radio environments by leveraging the unique properties of metamaterials and large arrays of inexpensive antennas. In this article, we discuss the potential applications of RISs in wireless networks that operate at high-frequency bands, e.g., millimeter wave (30-100 GHz) and sub-millimeter wave (greater than 100 GHz) frequencies. When used in wireless networks, RISs may operate in a manner similar to relays. The present paper, therefore, elaborates on the key differences and similarities between RISs that are configured to operate as anomalous reflectors and relays. In particular, we illustrate numerical results that highlight the spectral efficiency gains of RISs when their size is sufficiently large as compared with the wavelength of the radio waves. In addition, we discuss key open issues that need to be addressed for unlocking the potential benefits of RISs for application to wireless communications and networks.","['Relays', 'Surface waves', 'Wireless communication', 'Radio transmitters', 'Antenna arrays']","['5G', '6G', 'reconfigurable intelligent surfaces', 'relays', 'smart radio environments']"
"Emerging applications such as Internet of Everything, Holographic Telepresence, collaborative robots, and space and deep-sea tourism are already highlighting the limitations of existing fifth-generation (5G) mobile networks. These limitations are in terms of data-rate, latency, reliability, availability, processing, connection density and global coverage, spanning over ground, underwater and space. The sixth-generation (6G) of mobile networks are expected to burgeon in the coming decade to address these limitations. The development of 6G vision, applications, technologies and standards has already become a popular research theme in academia and the industry. In this paper, we provide a comprehensive survey of the current developments towards 6G. We highlight the societal and technological trends that initiate the drive towards 6G. Emerging applications to realize the demands raised by 6G driving trends are discussed subsequently. We also elaborate the requirements that are necessary to realize the 6G applications. Then we present the key enabling technologies in detail. We also outline current research projects and activities including standardization efforts towards the development of 6G. Finally, we summarize lessons learned from state-of-the-art research and discuss technical challenges that would shed a new light on future research directions towards 6G.","['6G mobile communication', '5G mobile communication', 'Mobile communication', 'Internet of Things', 'Market research', 'Reliability', 'Broadband communication']","['Beyond 5G', '6G', 'mobile communication', 'emerging technologies', 'survey']"
"Ultra-high bandwidth, negligible latency and seamless communication are envisioned as milestones that will revolutionize the way by which societies create, distribute and consume information. The remarkable expansion of wireless data traffic has advocated the investigation of suitable regimes in the radio spectrum to satisfy users' escalating requirements and allow the exploitation of massive capacity and massive connectivity. To this end, the Terahertz (THz) frequency band (0.1-10 THz) has received noticeable attention in the research community as an ideal choice for scenarios involving high-speed transmission. As such, in this work, we present an up-to-date review paper to analyze key concepts associated with the THz system architecture. THz generation methods are first addressed by highlighting the recent progress in the devices technology. Moreover, the recently proposed channel models available for propagation at THz band frequencies are introduced. A comprehensive comparison is then presented between the THz wireless communication and its other contenders. In addition, several applications of THz communication are discussed taking into account various scales. Further, we highlight the milestones achieved regarding THz standardization activities. Finally, a future outlook is provided by presenting and envisaging several potential use cases and attempts to guide the deployment of the THz frequency band.","['Wireless communication', 'Bandwidth', 'Channel models', 'Standardization', 'Sensors', 'Radio frequency']","['Terahertz band', 'Terahertz communication', 'Terahertz transceivers', 'Terahertz channel model', 'high-speed transmission', 'Terahertz standardization']"
"The concept of reconfiguring wireless propagation environments using intelligent reflecting surfaces (IRS)s has recently emerged, where an IRS comprises of a large number of passive reflecting elements that can smartly reflect the impinging electromagnetic waves for performance enhancement. Previous works have shown promising gains assuming the availability of perfect channel state information (CSI) at the base station (BS) and the IRS, which is impractical due to the passive nature of the reflecting elements. This paper makes one of the preliminary contributions of studying an IRS-assisted multi-user multiple-input single-output (MISO) communication system under imperfect CSI. Different from the few recent works that develop least-squares (LS) estimates of the IRS-assisted channel vectors, we exploit the prior knowledge of the large-scale fading statistics at the BS to derive the Bayesian minimum mean squared error (MMSE) channel estimates under a protocol in which the IRS applies a set of optimal phase shifts vectors over multiple channel estimation sub-phases. The resulting mean squared error (MSE) is both analytically and numerically shown to be lower than that achieved by the LS estimates. Joint designs for the precoding and power allocation at the BS and reflect beamforming at the IRS are proposed to maximize the minimum user signal-to-interference-plus-noise ratio (SINR) subject to a transmit power constraint. Performance evaluation results illustrate the efficiency of the proposed system and study its susceptibility to channel estimation errors.","['Channel estimation', 'Protocols', 'Precoding', 'Signal to noise ratio', 'Array signal processing', 'Interference', 'MISO communication']","['Alternating optimization', 'channel estimation', 'intelligent reflecting surface', 'minimum mean squared error', 'multiple-input single-output system']"
"Non-orthogonal multiple access (NOMA) has been considered as a study-item in 3GPP for 5G new radio (NR). However, it was decided not to continue with it as a work-item, and to leave it for possible use in beyond 5G. In this paper, we first review the discussions that ended in such decision. Particularly, we present simulation comparisons between the Welch-bound equality spread multiple access (WSMA)-based NOMA and multi-user multiple-input-multiple-output (MU-MIMO), where the possible gain of WSMA-based NOMA, compared to MU-MIMO, is negligible. Then, we summarize the 3GPP discussions on NOMA, and propose a number of methods to reduce the implementation complexity and delay of both uplink (UL) and downlink (DL) NOMA-based transmission, as different ways to improve its efficiency. Here, particular attention is paid to reducing the receiver complexity, the cost of hybrid automatic repeat request as well as the user pairing complexity. As demonstrated, different smart techniques can be applied to improve the energy efficiency and the end-to-end transmission delay of NOMA-based systems.","['NOMA', 'Complexity theory', 'Correlation', '3GPP', 'Receivers', '5G mobile communication', 'Long Term Evolution']","['3GPP', '5G', 'HARQ', 'MU-MIMO', 'non-orthogonal multiple access (NOMA)', 'receiver design', 'user pairing', 'WSMA']"
"The use of large arrays might be the solution to the capacity problems in wireless communications. The signal-to-noise ratio (SNR) grows linearly with the number of array elements N when using Massive MIMO receivers and half-duplex relays. Moreover, intelligent reflecting surfaces (IRSs) have recently attracted attention since these can relay signals to achieve an SNR that grows as N 2 , which seems like a major benefit. In this article, we use a deterministic propagation model for a planar array of arbitrary size, to demonstrate that the mentioned SNR behaviors, and associated power scaling laws, only apply in the far-field. They cannot be used to study the regime where N → ∞. We derive an exact channel gain expression that captures three essential near-field behaviors and use it to revisit the power scaling laws. We derive new finite asymptotic SNR limits but also conclude that these are unlikely to be approached in practice. We further prove that an IRS-aided setup cannot achieve a higher SNR than an equal-sized Massive MIMO setup, despite its faster SNR growth. We quantify analytically how much larger the IRS must be to achieve the same SNR. Finally, we show that an optimized IRS does not behave as an “anomalous” mirror but can vastly outperform that benchmark.","['Signal to noise ratio', 'Relays', 'Receiving antennas', 'MIMO communication', 'Phased arrays', 'Gain']","['Intelligent reflecting surface', 'reconfigurable intelligent surface', 'software-controlled meta-surface', 'massive MIMO', 'regenerative MIMO relays', 'asymptotic limits', 'power scaling law', 'near-field', 'far-field']"
"Although the fifth generation (5G) wireless networks are yet to be fully investigated, the visionaries of the 6th generation (6G) echo systems have already come into the discussion. Therefore, in order to consolidate and solidify the security and privacy in 6G networks, we survey how security may impact the envisioned 6G wireless systems, possible challenges with different 6G technologies, and the potential solutions. We provide our vision on 6G security and security key performance indicators (KPIs) with the tentative threat landscape based on the foreseen 6G network architecture. Moreover, we discuss the security and privacy challenges that may encounter with the available 6G requirements and potential 6G applications. We also give the reader some insights into the standardization efforts and research-level projects relevant to 6G security. In particular, we discuss the security considerations with 6G enabling technologies such as distributed ledger technology (DLT), physical layer security, distributed AI/ML, visible light communication (VLC), THz, and quantum computing. All in all, this work intends to provide enlightening guidance for the subsequent research of 6G security and privacy at this initial phase of vision towards reality.","['6G mobile communication', 'Security', 'Privacy', '5G mobile communication', 'Computer architecture', 'Wireless communication', 'Distributed ledger']","['6G', 'security', 'security threats', 'AI/ML security', 'DLT', 'physical layer security', 'privacy', 'quantum computing']"
"This paper investigates the problem of detection and classification of unmanned aerial vehicles (UAVs) in the presence of wireless interference signals using a passive radio frequency (RF) surveillance system. The system uses a multistage detector to distinguish signals transmitted by a UAV controller from the background noise and interference signals. First, RF signals from any source are detected using a Markov models-based naïve Bayes decision mechanism. When the receiver operates at a signal-to-noise ratio (SNR) of 10 dB, and the threshold, which defines the states of the models, is set at a level 3.5 times the standard deviation of the preprocessed noise data, a detection accuracy of 99.8% with a false alarm rate of 2.8% is achieved. Second, signals from Wi-Fi and Bluetooth emitters, if present, are detected based on the bandwidth and modulation features of the detected RF signal. Once the input signal is identified as a UAV controller signal, it is classified using machine learning (ML) techniques. Fifteen statistical features extracted from the energy transients of the UAV controller signals are fed to neighborhood component analysis (NCA), and the three most significant features are selected. The performance of the NCA and five different ML classifiers are studied for 15 different types of UAV controllers. A classification accuracy of 98.13% is achieved by k-nearest neighbor classifier at 25 dB SNR. Classification performance is also investigated at different SNR levels and for a set of 17 UAV controllers which includes two pairs from the same UAV controller models.","['Radio frequency', 'Drones', 'Wireless fidelity', 'Feature extraction', 'RF signals', 'Interference']","['Interference', 'machine learning', 'Markov models', 'RF fingerprinting', 'unmanned aerial vehicles (UAVs)', 'UAV detection and classification']"
