abstracts,ieee_keywords,author_keywords
"Tissue palpation is one of the most popular techniques to detect tissue abnormalities in clinical scenarios, including breast examination. However, the tactile sensation used to identify tumors by the clinician or a woman during breast palpation makes this procedure subjective. Over the past decades, tactile sensors have been developed to quantitatively discriminate between cancerous and healthy tissues, but most of these systems still suffer from low force sensitivity, high power consumption, reduced sterilization durability, and electrical noise. This study aims to overcome these limitations by exploiting the advantages of fiber Bragg grating (FBG) technology combined with the ones of 3-D printing to develop an innovative tactile probe for breast cancer identification. FBGs have already been proposed for tissue palpation in minimally invasive surgery via tactile sensing, while their application in superficial palpation is still overlooked. To the best of authors’ knowledge, this is the first work in which the FBG integration into 3-D-printed structures is proposed for breast superficial palpation. Here, we first focused on the sensing unit design optimization via finite-element analysis, fabrication, and metrological characterization. Then, the final prototype of the tactile probe integrating multiple identical sensing units was fabricated, and the results of tests on silicone samples with different hardness and on a phantom mimicking breast tissue with an early stage tumor were discussed. The promising findings will guide further optimization of the tactile probe design to improve system spatial resolution, reduce its encumbrance, and provide feedback to the user for applications on patients.",[],[]
"We investigate a coupled multiscale 3-D finite-element model consisting of an orthogonal array of thin-film cantilever magnetoelectric (ME) magnetic field sensors and a simplified human head model. Electric point dipole sources are placed inside the head to generate an electromagnetic field. This field propagates through the tissue layers and outside of the head, where it reaches the sensor array. The investigated sensors are based on a 300-μm-thick silicon substrate layer of 26.25 mm length and 2.45 mm width, with a 20-μm-thick aluminum nitride (AlN) layer and a 20-μm-thick FeCoSiB layer as piezoelectric (PE) and magnetostrictive materials, respectively, located on opposite sides of the substrate. We position three sensors orthogonally to obtain a vector field sensor. The head model is based on the three-shell approach and consists of concentric spheres representing white matter, skull, and skin. All three layers are assigned specific conductivity and relative permittivity values from the literature, aiming to approximate the propagation of electromagnetic fields through different tissue types. We observe the propagation of an electric field generated by the dipole source and subsequent induction of a magnetic field inside the head structure, propagating outwards to the sensor array, where the generated voltage in the PE layer is evaluated for different ME sensor array and source positions and orientations. We show different behaviors of the sensors for a dipole source inside the head tissue versus a simple air environment, highlighting the benefits in accuracy and specificity of a combined head and sensor model with realistic material parameters.","['Sensors', 'Magnetic sensors', 'Magnetic heads', 'Sensor arrays', 'Brain modeling', 'Mathematical models', 'Solid modeling']","['Biomagnetic sensing', 'finite-element method (FEM)', 'human head model', 'magnetic field measurement', 'magnetoelectric (ME) effects', 'magnetostrictive (MS) device', 'multiferroic', 'multiscale model']"
"The lighthouse localization system has recently been developed and used for localization in virtual reality (VR). Not only for VR but also for a general indoor positioning systems (IPSs) it has several advantages over existing methods, including low cost, wide detection area, and easy setup. Here, we adopt the stereo configuration of a lighthouse for improved sensing performance and propose a novel calibration method for stereo configuration. For the stereo calibration, the exact positions of sufficient corresponding points in two sensor coordinates need to be determined. A printed checkerboard is widely used for stereo camera systems because it is easy to construct and its accuracy is guaranteed owing to its printing accuracy. However, in the case of the lighthouse system, it is very difficult or impossible to construct a highly accurate calibration board similar to the checkerboard mainly because of manufacturing errors. In this study, we use a receiver sensor and a two-axis linear stage equipped with micrometers. By moving predetermined distances along the x and y directions on the linear stage, we can obtain multiple-point information with high accuracy, which can then be used for the stereo calibration of two lighthouses. In this paper, the calibration and pose estimation procedures are described in detail, and the pose estimation result of the perspective-n-points method is compared with that of the triangulation method. Finally, the pose estimation accuracy of the proposed system is compared with that of a commercial system that is widely used for highly accurate medical applications.","['Calibration', 'Pose estimation', 'Photodiodes', 'Sensors', 'Location awareness', 'Synchronization', 'Cameras']","['Base station', 'calibration', 'lighthouse', 'pose estimation', 'virtual reality']"
"The article proposes a fully printed microelectrode array (MEA) as a proof of concept for the feasibility of a customized and low-cost bioelectronic device. The target application is to promote the maturation of the cell culture by providing biophysical stimuli and evaluating the functionality of the bioengineered products, monitoring in real-time the electrogenic cell action potential. The MEA is entirely printed with aerosol jet printing (AJP) with a multilayer structure composed of an array of 16 electrodes. AJP fabrication was exploited as low-cost technique and easy and reliable possibility to print both insulated material and conductive polymer. Furthermore, the technique allows the realization of a customized electrode design according to specific neuronal network architecture. The chosen inks achieve the requirements for the intended use, in terms of high conductivity for electrodes, low conductivity for passivation layers, and biocompatibility for cell culture. Results from geometrical characterization showed an agreement with the design requirements. In particular, the first prototypes showed a thickness of the passivation layer of (33.4 ± 1.4)μmand the silver conductive tracks with a thickness of (5.5 ± 0.6)μmand a width of (68 ± 1.4)μm. Electrochemical Impedance Spectroscopy established an impedance magnitude value significantly below compared with commercial MEA and inkjet printing MEA. The reusability and the stability of the sensor are demonstrated within two weeks. Overall, the results suggest the possibility to exploit the potential to print MEA onto platform, for in vitro cell culture and to integrate other types of biosensors.","['Electrodes', 'Computer architecture', 'Microprocessors', 'Sensors', 'Recording', 'Action potentials', 'Ink']","['Additive manufacturing (AM)', 'aerosol jet printing (AJP)', 'biomedical application', 'biosensor', 'in vitro cell culture', 'microelectrode array (MEA)', 'printed sensor']"
"In order to increase the spatiotemporal resolution and accessibility of freshwater and marine data, low-cost in situ fluorometers are required. The devices must be robust, fully submersible, and sensitive in the 1 ppb–1 ppm range for compounds such as Rhodamine water tracer (RWT), a dye used in time of travel, and substance dispersal measurements. In this work, we introduce a deployment-ready, low-cost, small form-factor RWT fluorometer prototype based on the principle of lock-in amplification. Using measurements collected from remotely operated underwater vehicle (ROV) deployments during a dye-tracer experiment in the Gulf of Saint Lawrence, we compare its performance against that of a widely used commercial fluorometer. The results of the prototype’s calibration and deployment show competitive performance against commercial instruments, with a limit of detection (LOD) below 0.2 ppb and for a cost of U.S.$744.70, a fraction of the cost of relevant commercially available in situ fluorometers.","['Optical filters', 'Underwater vehicles', 'Prototypes', 'Fluorescence', 'Lenses', 'Optics', 'Costs']","['Chlorophyll', 'fluorometer', 'harmful algal bloom (HAB)', 'lock-in amplifier', 'low cost', 'Rhodamine', 'sensor']"
"This research addresses the long-term measurement of environmental data in geographically remote areas and an energy-optimized method of storing data on a storage medium. For this purpose, we have developed our measurement module Advanced Data Logger (ADL). In terms of connectivity, the module operates in three modes: 1) offline—when measured data is primarily stored on the storage medium; 2) Internet of Things (IoT) ready—measured data is stored on the storage medium and sent to the remote server in defined batches; and 3) online mode—when measured data is preferably sent to the remote server immediately after measurement. The design aims to minimize the module’s power consumption so that the autonomous operating time is close to one year. As part of the design, the Simple File System (simpleFS) software module is designed for the role of a simple file system (FS) optimized to minimize I/O operations. Its other feature in data storage is the automatic normalization of the data transmitted from the attached sensors. The last part of the design is the AdlReader software solution, used to configure the hardware (HW) module and to retrieve the measured data files. We verified the correct operation of the ADL module along with nine sensors built in a vertical soil temperature profile probe in experimental installation and operation for two months. According to the requirements for our solution, the expected operation time of the ADL module is 9–12 months.","['Sensors', 'Power demand', 'Temperature measurement', 'Microcontrollers', 'Memory management', 'Internet of Things', 'Hardware', 'Energy consumption', 'File systems']","['Data logger', 'energy consumption', 'file system (FS)', 'memory', 'microcontroller', 'optimization', 'sensor']"
"Since hundreds of volatile organic compounds (VOCs) produced by cell metabolism and released into the blood are excreted through exhaled breath or body fluids, the volatile composition (volatilome) of human samples reflects a subject’s state of health and early signals any abnormal deviation from healthy to disease. The chemical volatilomic profile of biological matrices can be transduced in a digital fingerprint by low cost and easy-to-use electronic nose (e-nose) devices based on gas sensor arrays. The e-noses can be used to aid clinical diagnosis supporting conventional diagnostic methods that sometimes require expensive or invasive medical procedures and delays in diagnoses. In this paper, an e-nose devoted to the human volatilome fingerprinting is presented. The device, code-named SPYROX, adopts an array of 8 metal-oxide (MOX) gas sensors and it is able to analyze response signals from different matrices (multi-matrix samples), dealing with exhaled breath and headspace analysis of human biological samples. While other works in literature neglect the design of the interface circuit, here an optimal multi-ranged analog front-end (AFE) circuit is proposed. It aims to the optimization of the read-out sensitivity which, ultimately, leads to accurate training datasets and, consequently, to high classification scores. Finally, the efficacy of the device is proved by testing both chemical standards and mixtures. As a result, a classification accuracy of 100% is achieved with a linear discriminant model. The experimental results give a proof on the system’s efficacy to the fingerprint analysis of complex gas mixtures, which are typical of human volatilome.","['Sensors', 'Sensor arrays', 'Gas detectors', 'Sensor phenomena and characterization', 'Cancer', 'Fingerprint recognition', 'Voltage']","['electronic nose', 'sensor systems and applications', 'chemical sensors', 'biomedical electronics', 'analog front-end']"
"An important aspect of mechanical ventilation is the recognition and quantification of spontaneous respiratory effort. However, a measurement of flows and pressures often used for this purpose is prone to error. A promising alternative is to detect diaphragmatic contractions, directly. A method recently proposed is to acquire the diaphragm electromyography (EMG) signals using surface electrodes. However, this method is often limited by disturbances and electrode placements for some applications in which the patient is moving, such as rehabilitation or breathing training. In this work, we present a novel noninvasive method that addresses these problems. This method is based on a novel dry electrode belt, which can be used to comfortably derive EMG signals from the thorax, in combination with a developed electrical measurement system. The modular multichannel system is capable of simultaneously deriving and digitizing 32 differential EMG channels and sending them to a personal computer (PC). A specific digital signal processing chain allows combining the data into one robust overall signal. In addition, the signals derived from the thorax can be used to obtain information regarding the spatiotemporal propagation of the diaphragm EMG. To verify the functionality, the system is characterized. Subsequently, subject measurements are performed. From these, the spatiotemporal propagation of diaphragm EMG on the thorax can be identified. For better visualization, this propagation is graphically displayed in a 3-D model. In addition, it is shown how the combination of all signals can be used to obtain a robust overall signal that can be used to control ventilators.","['Electromyography', 'Electrodes', 'Belts', 'Frequency measurement', 'Muscles', 'Ventilators', 'Ventilation']","['Dry electrodes', 'electrical activity of the diaphragm (EAdi)', 'electrode belt', 'electromyography', 'diaphragmatic electromyography (EMGdi)', 'measurement system', 'multichannel', 'respiration monitoring', 'spatiotemporal electromyography (EMG)']"
"Assistive technology (AT) helps to assess the daily living of frail people and may have a strategic role to detect and prevent falls. In this article, the task of classifying different classes of postural sway behaviors has been addressed by developing a neuro-fuzzy (NF) inference approach that is robust against noise. The proposed approach classifies four different postural behaviors, namely, stable standing (ST), anteroposterior (AP), mediolateral, and unstable (UNST). The strategy exploits data generated by a wearable sensor node, to be positioned on the user chest. A dedicated experimental setup has been realized to emulate the postural dynamics and generate the dataset. Two novel indices to assess the robustness of the system have been proposed. The first index is a measure of residuals between the predicted and the expected postural status, which equally weights estimations with respect to expected classes. The second metric is a reliability index, which allows for assessing the degree of trust of each estimation performed by the NF inference. Results obtained demonstrate the suitability of the proposed methodology, showing a capability of almost 100% to correctly classify patterns among different allowed classes, with reliability indexes of 97.56% and 98.50% for the training and test patterns, respectively. Also, the robustness of the NF classification algorithm against noisy data has been demonstrated.","['Sensors', 'Behavioral sciences', 'Monitoring', 'Noise measurement', 'Classification algorithms', 'Sensor phenomena and characterization', 'Robustness']","['Inertial unit', 'neuro-fuzzy (NF) inference', 'postural sway behavior classification', 'system assessment']"
"Trifurcated optical fiber displacement sensors (OFDS) are increasingly used in industrial and aerospace applications. The critical element of the sensor is the fiber bundle. However, there is no straightforward method to calculate it from the working specifications of the sensor, the number of fibers needed, their size, and arrangement. This work presents a simple yet accurate method to design trifurcated OFDSs. The proposed method allows to derive the geometrical arrangement and size of the fibers from three simple equations, thus reducing significantly the difficulty and complexity of the OFDS design. Those three equations depend on the working point, working range, required sensitivity, and maximum size of the bundle. In this way, the proposed method will save valuable time for researchers and engineers who wish to design, fabricate, and use this type of OFDSs. The procedure is explained in detail with two examples. The results predicted by the model are compared with the experimental results of a bundle with identical fiber arrangement and dimensions. The results show good agreement with a deviation of less than 1% in the working range of the sensor.","['Optical fiber sensors', 'Optical fibers', 'Sensors', 'Mathematical models', 'Photodiodes', 'Optical fiber communication', 'Turbines']","['Design', 'fiber bundle', 'fiber optic sensors', 'intensity modulated optical sensor', 'optical fiber displacement sensor', 'method', 'trifurcated']"
